product_id,avg_time_between_orders,data_point_count
1,33.4066,14440
2,35.2193,839
3,36.7230,14901
5,36.6426,803
6,35.7416,387
7,37.9359,624
8,43.2915,597
9,39.8841,561
10,37.7074,8927
12,27.0130,849
14,31.8856,402
15,39.7407,243
16,29.8729,3665
17,40.1597,238
18,22.3750,264
19,36.9379,338
20,25.5367,600
21,34.1858,296
22,30.3921,482
23,39.8502,267
24,36.5618,89
25,40.7861,173
27,36.5000,2
28,38.8975,283
29,51.1546,2827
30,52.2354,2243
31,32.2877,657
34,36.9721,251
38,38.0635,299
39,44.8118,85
40,41.1111,180
41,51.4870,1115
43,35.9794,680
44,33.9894,282
45,34.1433,2115
46,34.0386,311
47,33.2570,214
48,33.5694,569
49,34.4427,2347
50,32.6971,449
52,31.5862,29
53,45.1429,105
57,43.4576,59
58,39.1529,85
59,45.2727,55
60,47.4286,21
69,44.2000,45
70,38.4378,217
71,38.8372,43
72,47.4118,34
76,33.7917,24
77,36.8194,72
78,35.9429,35
79,34.1959,97
80,0.0000,1
81,12.7500,4
82,14.0000,2
83,26.6000,5
84,34.1503,572
85,51.3600,25
86,21.0000,1
87,34.9375,48
88,35.1125,80
89,29.9130,23
91,40.6977,43
92,35.8421,19
93,42.6000,5
94,40.6887,106
95,40.1389,72
96,29.9236,864
99,42.8512,121
100,37.2872,188
101,36.7440,457
102,34.8762,210
103,38.4767,86
104,35.6000,60
105,35.8167,60
106,38.7273,11
107,33.7586,29
108,33.8333,18
109,34.0755,53
111,27.0000,4
112,36.7660,47
113,36.7593,54
114,35.0870,23
115,33.3333,15
116,29.0000,7
117,34.5000,28
118,38.8545,55
119,35.5882,68
120,39.3077,39
121,43.0421,95
122,41.3800,50
124,37.7647,17
125,35.0000,7
126,44.0313,64
127,39.5969,129
128,42.1698,106
129,37.9795,341
130,41.9333,60
131,44.0294,34
132,45.4516,124
134,36.5181,83
135,27.9153,118
187,38.6364,11
189,30.5385,234
192,34.5103,145
193,45.8571,7
195,47.3333,6
196,47.0000,13
200,44.9661,59
201,43.6923,52
203,54.4167,12
204,41.5556,18
205,45.2759,29
206,48.2632,19
216,43.9524,42
217,36.8348,115
218,42.2987,77
220,50.2000,5
221,48.8667,15
222,48.1818,11
224,42.1250,16
225,35.2532,79
226,41.2791,43
227,33.0000,5
228,50.0000,8
231,35.4420,138
232,48.2414,29
233,47.4783,23
234,35.2264,53
235,33.0385,78
242,42.6883,247
305,43.0000,4
307,30.5000,14
346,37.8901,91
347,34.6022,93
348,37.0545,55
349,34.9338,151
350,33.8246,114
351,37.3793,116
352,33.3056,144
353,37.8259,293
354,37.0370,135
355,36.0052,194
356,41.2802,207
376,36.1696,1256
377,36.6383,2405
378,35.5762,715
379,38.6560,125
380,42.6359,184
381,28.8881,688
382,34.2615,455
383,33.2934,167
384,40.5935,310
386,39.9181,598
388,39.9934,303
389,43.6818,44
390,43.3673,49
391,45.8788,33
392,49.2500,92
393,46.8974,39
394,44.2796,93
395,36.9148,728
396,33.7942,413
397,40.1099,573
398,37.4843,351
399,43.6988,166
401,42.8519,81
402,39.9529,297
414,39.7778,9
415,22.9679,280
416,28.0000,3
417,41.2956,159
420,41.0909,11
421,36.1667,6
422,7.2727,11
424,28.6132,106
426,20.7500,8
427,35.2857,7
429,31.3636,88
430,28.5493,142
431,29.3621,232
432,27.2125,1280
433,34.1064,47
434,36.1759,108
435,36.4000,10
436,36.5429,70
437,35.8925,93
438,45.7921,202
439,28.9236,144
440,30.0336,268
441,23.2259,363
442,29.3077,208
443,24.8567,719
444,30.9286,14
445,30.4912,57
446,38.5077,65
447,30.3495,103
448,40.4867,113
449,31.8000,30
453,35.5765,85
454,45.1419,155
455,39.6798,228
456,47.9130,23
458,35.2308,13
459,36.8701,77
460,40.2566,378
461,41.5676,37
462,29.6559,1177
463,22.9821,224
464,31.1296,108
465,48.8001,4957
468,41.5429,35
469,30.8056,36
470,36.3333,27
