product_id,avg_time_between_orders,data_point_count
650,30.7443,1087
651,37.4353,85
652,42.7143,14
653,35.7921,101
654,40.7634,93
655,40.2817,71
656,34.8870,115
657,39.1667,12
658,47.4444,18
661,28.4629,283
662,27.8632,402
663,55.3367,1081
664,26.8901,537
665,33.5156,64
666,39.5000,76
667,29.3600,200
668,43.7358,53
669,38.5500,20
670,35.2895,38
671,36.1538,26
672,34.3966,58
673,37.3795,477
674,33.4444,27
675,37.4000,35
676,44.0357,84
677,42.2565,347
678,42.8000,10
679,39.0476,42
680,31.5027,185
681,46.2400,25
682,61.2000,5
683,43.0833,12
684,34.0323,31
685,35.8571,14
686,34.6667,48
687,44.7283,92
688,46.5556,54
689,34.2000,5
692,38.2708,48
693,33.7333,15
694,26.4808,104
697,46.8333,18
698,43.6557,61
700,42.3684,57
701,43.5345,58
702,49.1429,7
703,38.8727,55
704,38.7273,22
705,40.6000,95
706,41.0000,11
708,43.6154,13
710,45.8737,95
711,40.5055,91
712,44.9425,87
713,45.1429,14
714,37.3774,212
715,44.4796,98
716,37.2955,44
717,43.0741,27
718,42.3636,33
719,36.8710,31
720,34.1000,10
722,43.5147,68
723,41.7558,86
724,44.1600,25
725,38.2083,24
726,33.4600,50
727,33.1875,16
728,34.8839,112
730,29.9091,11
731,33.7273,11
732,38.8000,10
733,38.6825,63
735,47.7500,4
736,38.8750,8
737,48.2857,7
738,37.9375,48
739,36.1111,9
741,45.2609,23
742,40.5854,41
743,40.7600,25
744,48.2105,19
745,42.8000,15
746,41.2308,26
747,39.2615,65
748,42.4722,36
749,38.0282,71
750,39.8750,24
751,39.4706,34
752,38.5714,21
753,37.5833,12
754,36.0769,13
755,38.9200,25
756,40.7857,14
757,39.0323,31
760,47.2500,12
761,38.2857,14
762,25.8962,771
763,33.6400,75
764,34.0000,4
765,41.4000,5
766,38.0000,3
767,51.5909,22
768,42.4242,33
769,52.3333,9
770,54.1429,7
771,42.8000,5
772,46.1000,10
776,29.3816,207
777,47.8713,202
779,28.3333,12
780,33.8966,87
783,37.0192,52
784,33.8036,56
785,39.3026,76
786,40.4545,11
787,37.4000,5
788,32.2857,28
789,30.1635,104
790,24.7614,197
791,25.8611,108
792,44.3235,34
794,38.5517,116
795,40.9853,4436
796,30.7863,510
807,42.0833,12
810,42.6264,554
811,33.0500,60
812,32.0000,92
813,33.7029,138
814,33.3765,85
815,27.3333,3
818,35.3500,40
819,35.6250,8
820,34.5000,34
822,27.8000,5
823,27.6250,8
824,31.2400,25
825,28.4000,15
826,20.8750,8
827,18.5680,507
835,1.9000,10
838,32.0769,13
844,0.0000,1
845,2.0000,1
846,0.5000,2
854,17.0000,1
874,8.5000,14
876,11.5000,4
